feature,orig_variance,harm_variance,retention,status
Cingulate_mssd,316001.79811356927,87590.78494986854,0.2771844510783097,low
Frontal_Orbital_beta_power,1.8925009312848613e-12,5.602007964165428e-13,0.2960108431947824,low
Motor_Premotor_mssd,1559109.260725219,475980.13282138837,0.30528978616930696,low
Subcortical_mssd,573587.148224233,182414.2547623418,0.3180236086653574,low
Temporal_mssd,150359.28862045179,47902.39139191298,0.31858618001866046,low
Cingulate_psd,0.5877668077596708,0.18823246277471845,0.32025024259567225,low
Brainstem_psd,0.2839843469360538,0.09176903828462112,0.32314822726931924,low
Cerebellum_kurt,0.3193573888467956,0.10656891049239482,0.3336979641436097,low
Limbic_mssd,161847.62500977202,55623.2981145112,0.34367694991602615,low
Motor_Premotor_spectral_entropy,0.055099073168343095,0.01901686549568921,0.34513948061498895,low
Cerebellum_alpha_peak,2.4500339272523882e-05,8.56189872780292e-06,0.34946041491779406,low
Cerebellum_mssd,1945435.154378369,686689.7188498664,0.3529748690437778,low
Frontal_Superior_mssd,195910.91426168682,69492.32154573577,0.35471388517391034,low
Insula_mssd,3508966.179560032,1301049.8525356986,0.3707786812293612,low
Frontal_Orbital_mssd,3365868.2362925326,1278617.099399875,0.3798773480236582,low
Temporal_psd,0.6044816117818158,0.23969807497098505,0.3965349322445605,low
Limbic_psd,0.8476921088320205,0.3369930507858037,0.39754180471270917,low
Subcortical_range,6515.807698790373,2632.2871571795713,0.4039847826798575,low
Frontal_Superior_psd,0.7933127809873958,0.3259658666577014,0.4108919892252188,low
Subcortical_alpha_power,0.5739675228278854,0.2360841425144352,0.41131968817899356,low
Parietal_mssd,100357.43538675514,41784.13310925706,0.4163531376447629,low
Cerebellum_psd,1.2488521701016315,0.5354050543015544,0.4287177194543235,low
Cingulate_alpha_power,0.5677542465076384,0.24590298170045746,0.43311517828893803,low
Subcortical_theta_power,0.46703744043743384,0.20351744896307258,0.4357625991878837,low
Temporal_delta_power,0.5235370133268582,0.22940682581984606,0.4381864509675484,low
Occipital_mssd,164226.09669406663,73172.53393489924,0.44555972167572633,low
Cingulate_range,3800.3402745295543,1695.2206231413224,0.44607074648103046,low
Parietal_psd,0.6054345008142882,0.27189073615813897,0.4490836511504638,low
Cingulate_delta_power,0.48098624838758475,0.2239769015128784,0.4656617569914286,low
Temporal_alpha_power,0.5936029871361971,0.278930517918584,0.4698940604464744,low
Subcortical_std,134.39081947743003,63.27728925547009,0.4708453263513067,low
Subcortical_delta_power,0.536012529700008,0.25271297200515225,0.471468404193068,low
Cerebellum_range,12783.698155169079,6033.396509950717,0.4719601821567664,low
Motor_Premotor_range,11650.136112217877,5599.898347103863,0.4806723537960271,low
Cingulate_theta_power,0.3956693476224942,0.19135377017597768,0.4836204050826479,low
Limbic_beta_power,1.177784448875016e-13,5.76463320090544e-14,0.48944721645897454,low
Insula_psd,1.1059849429789288,0.5496202094444973,0.49695089696620637,low
Temporal_theta_power,0.46681179709001647,0.23316167612112812,0.49947682893748074,low
Cerebellum_delta_power,0.7828207285066523,0.4051502262792444,0.5175517350596083,low
Occipital_psd,0.7259730415273276,0.38326080222706604,0.52792704453701,low
Cingulate_std,77.73647778164248,41.36799809627548,0.5321568364915623,low
Temporal_beta_power,1.324008437923915e-13,7.051229507150489e-14,0.5325668103903499,low
Temporal_range,2763.544224139681,1472.72955852664,0.5329133312440895,low
Limbic_range,3550.5545520609735,1920.9253508712536,0.5410212187153196,low
Cerebellum_beta_power,1.6273382289786941e-12,8.858315999949583e-13,0.5443438765344436,low
Brainstem_mssd,2586967.2520259246,1416675.8297135353,0.5476203181946342,low
Motor_Premotor_std,237.04708799014955,130.48537492809652,0.5504618345428433,low
Cerebellum_std,249.88257073034097,138.82884795569132,0.5555763555254419,low
Frontal_Superior_range,3757.6611253182873,2119.22465542095,0.5639743938435758,low
Frontal_Orbital_range,19512.449089857237,11186.627275341083,0.5733071857779248,low
Cerebellum_theta_power,0.6697655300500405,0.3857382248810876,0.5759302436066959,low
Parietal_range,2447.892990954901,1437.4020264263952,0.5871996985724762,low
Brainstem_range,7820.685870107074,4613.586440642116,0.5899209503192782,low
Motor_Premotor_psd,1.1797680320016766,0.7024864538939465,0.5954445576068534,low
Limbic_kurt,0.247775538946864,0.14777978230020553,0.5964260351458552,low
Cerebellum_alpha_power,0.6644307737523134,0.40219874086753127,0.605328285136689,low
Temporal_std,53.8754713483553,33.022098212865934,0.6129338154528096,low
Frontal_Orbital_psd,1.4159597924386518,0.8752121354401066,0.618105217474264,low
Limbic_std,67.85121307701259,43.223802811219095,0.6370380255716157,low
Frontal_Orbital_std,399.16792530678697,257.17831175958565,0.6442860146188527,low
Subcortical_beta_power,6.543277849630007e-13,4.225752620665765e-13,0.6458158613736251,low
Insula_range,15272.439728077377,9947.531924965353,0.651338758055628,low
Brainstem_std,179.98129498766784,117.67053858005669,0.653793154383734,low
Motor_Premotor_beta_power,4.534475596725432e-13,3.040896356357388e-13,0.6706169856892313,low
Parietal_kurt,0.14043326744702617,0.09486716521336418,0.6755319942203132,low
Cerebellum_delta_peak,2.597314478900585e-06,1.76329973873596e-06,0.6788934312961385,low
Frontal_Superior_std,71.08241778219602,48.31660406815265,0.6797265143146902,low
Insula_kurt,0.34915833594869966,0.24235036626956652,0.6940987549705072,low
Subcortical_kurt,0.0789732464725205,0.05585658407592026,0.7072848916671558,within
Motor_Premotor_alpha_power,0.8225131368260067,0.5872848756195924,0.7140127608002277,within
Parietal_beta_power,8.263434363409063e-14,5.904299026225583e-14,0.7145090971340126,within
Frontal_Superior_beta_power,1.0297438316527214e-13,7.398099847242167e-14,0.7184408024438799,within
Insula_delta_power,0.7917232473346888,0.5702035116875829,0.7202055940723667,within
Parietal_std,48.67696659334394,35.25586774759958,0.7242823498459423,within
Motor_Premotor_delta_power,0.6737882336688932,0.4891838161283489,0.726020122768631,within
Limbic_delta_power,0.48485717613091683,0.35553142335655585,0.7332704162360555,within
Frontal_Superior_alpha_power,0.5591609202115696,0.41229929707770474,0.7373535634816953,within
Insula_alpha_peak,2.6771640412643226e-05,1.9813956764605044e-05,0.7401099245023351,within
Insula_alpha_power,0.8790075655032752,0.6526213999908435,0.7424525403455265,within
Limbic_alpha_power,0.5492490512262685,0.4093761560593164,0.7453379394016829,within
Insula_std,309.77877219016796,231.4964110054129,0.7472959149805822,within
Frontal_Superior_delta_power,0.43797278960646346,0.3329023036225509,0.7600981419911436,within
Frontal_Superior_kurt,0.14353788254954408,0.10913018431263913,0.7602883808389144,within
Frontal_Orbital_delta_power,0.8794998003605466,0.6707751171989946,0.7626779641382677,within
Frontal_Orbital_alpha_peak,2.937183788639184e-05,2.242800625440781e-05,0.7635887934952428,within
Limbic_theta_power,0.41716896294562905,0.3244789938066034,0.7778119242511667,within
Occipital_range,2916.637993820298,2273.703613016096,0.7795631881068422,within
Temporal_kurt,0.11661990703550032,0.0915287746737838,0.7848469185104177,within
Brainstem_kurt,0.09551837148073332,0.07507742789375324,0.7859998734264104,within
Frontal_Orbital_alpha_power,1.0380416099547318,0.8161286809613145,0.7862196208077875,within
Parietal_alpha_power,0.4546284528671251,0.35915464359222765,0.7899959655565119,within
Frontal_Orbital_kurt,0.3625286801846684,0.2919168447705153,0.8052241401199373,within
Occipital_beta_power,1.2320847908038373e-13,9.958425846295415e-14,0.808258158904659,within
Motor_Premotor_theta_power,0.6028968123904824,0.4878263397014671,0.80913736758242,within
Cingulate_kurt,0.07963211489281137,0.06469386098110766,0.8124091777317316,within
Subcortical_alpha_peak,5.252438645412147e-06,4.287277577234882e-06,0.8162451513792921,within
Occipital_alpha_power,0.5377237973632618,0.44092944660037636,0.8199924361958346,within
Occipital_delta_power,0.5714202692721573,0.47326480265327614,0.8282254377432113,within
Frontal_Superior_theta_power,0.38207225244861376,0.32137793354590977,0.8411443947742135,within
Insula_theta_power,0.6463889471384106,0.5460439843599421,0.844760707585271,within
Cingulate_beta_power,1.5299226910326725e-13,1.292586153489642e-13,0.8448702415264968,within
Cerebellum_skew,0.008013058755591575,0.006911532591754168,0.8625336219993702,within
Parietal_alpha_peak,8.584816582666358e-06,7.461506745435438e-06,0.8691515623643026,within
Parietal_delta_power,0.3234610688402775,0.2812880921698698,0.8696196212372241,within
Cerebellum_theta_peak,1.7420856209900816e-05,1.5280777058611978e-05,0.8771541923368517,within
Frontal_Orbital_theta_power,0.8098290381268743,0.7168007369712512,0.8851259997161913,within
Temporal_alpha_peak,7.688051487309924e-06,6.817473697252172e-06,0.8867622320825052,within
Motor_Premotor_kurt,0.17404462465456716,0.15450057340111426,0.8877066655046503,within
Subcortical_delta_peak,1.5212612938533358e-06,1.3647840621827211e-06,0.8971398060919175,within
Occipital_std,66.75294716250407,60.00532552820825,0.8989164985050122,within
Cingulate_alpha_peak,7.908189065602368e-06,7.231131328689283e-06,0.914385236455963,within
Motor_Premotor_alpha_peak,2.3075120955221047e-05,2.113005589045066e-05,0.9157072646100132,within
Frontal_Superior_alpha_peak,7.894388511011629e-06,7.241124344779605e-06,0.9172495545005409,within
Frontal_Superior_delta_peak,2.75516674918747e-06,2.545354591117349e-06,0.9238477460095667,within
Limbic_alpha_peak,1.1397488307306443e-05,1.059439971172026e-05,0.9295381075257294,within
Cingulate_delta_peak,2.758723277345582e-06,2.5880126719801835e-06,0.9381197067617255,within
Parietal_delta_peak,3.010993754630517e-06,2.828195968330639e-06,0.9392898819471948,within
Brainstem_alpha_peak,9.281053250452624e-06,8.718012046417327e-06,0.9393343418207585,within
Occipital_theta_power,0.4109961778232356,0.3876597238793722,0.9432197786668952,within
Limbic_mean,0.08682357977699327,0.08245695436900181,0.9497069181067268,within
Frontal_Superior_theta_peak,2.0994909693795067e-05,2.000429102810004e-05,0.9528162454545923,within
Temporal_delta_peak,2.2533597013325605e-06,2.153998787195245e-06,0.9559054357462073,within
Parietal_theta_peak,2.1643497000941825e-05,2.0782927502719402e-05,0.9602388884668233,within
Insula_skew,0.028122012560995165,0.02711413569725247,0.9641605713120046,within
Cerebellum_mean,0.16398705019311555,0.15829624565795689,0.9652972321384096,within
Temporal_mean,0.07916598291763427,0.07700610640872992,0.9727171137235606,within
Occipital_theta_peak,3.2200787474093464e-05,3.158358089011772e-05,0.9808325624187821,within
Occipital_alpha_peak,1.1375906409800392e-05,1.1178140993653044e-05,0.9826154146295568,within
Parietal_theta_power,0.2720490723542364,0.26767215601703864,0.9839112984311207,within
Frontal_Orbital_delta_peak,5.54640691063804e-06,5.460234742792383e-06,0.9844634248380915,within
Insula_theta_peak,5.83406002386828e-05,5.749196035670084e-05,0.9854536998503614,within
Limbic_delta_peak,3.7943084036997156e-06,3.743887953525933e-06,0.9867115572037795,within
Limbic_skew,0.0172652353788332,0.017211508059706126,0.9968881212478028,within
Subcortical_theta_peak,1.2784904365321225e-05,1.2995050616456102e-05,1.0164370608594377,within
Cingulate_theta_peak,2.3480504937493787e-05,2.3926890568502983e-05,1.0190109042457773,within
Brainstem_mean,0.437272178446805,0.44584527098108845,1.0196058495300002,within
Frontal_Orbital_theta_peak,4.806014680940279e-05,4.906347526926066e-05,1.0208765167496654,within
Insula_delta_peak,6.28236005690226e-06,6.456394940363288e-06,1.0277021504473978,within
Temporal_theta_peak,1.946011106825468e-05,2.003260236562102e-05,1.0294187065715286,within
Brainstem_delta_peak,2.4390449062554036e-06,2.522375218330821e-06,1.03416514056863,within
Brainstem_theta_peak,2.4489751127814195e-05,2.5342495169806846e-05,1.0348204453994696,within
Limbic_theta_peak,3.048448995041256e-05,3.172686365840191e-05,1.0407542888206511,within
Occipital_delta_peak,3.872654139921385e-06,4.034264705391577e-06,1.0417312157582637,within
Temporal_skew,0.009375237813225815,0.009856170493713276,1.0512981846507403,within
Motor_Premotor_theta_peak,4.338604679366661e-05,4.56192174391584e-05,1.0514720932310841,within
Motor_Premotor_delta_peak,5.608437803863526e-06,5.931720106952815e-06,1.0576421303748054,within
Frontal_Orbital_mean,0.3827284596911136,0.40570863369890764,1.0600430237833385,within
Frontal_Orbital_skew,0.02692807015096143,0.028632924716264527,1.0633114276569213,within
Occipital_kurt,0.16051955135943144,0.17349666772715655,1.080844459493081,within
Cingulate_skew,0.00969352926483586,0.010480599166375169,1.0811953912796732,within
Frontal_Superior_skew,0.009667103069980866,0.010618153363281297,1.0983800717149397,within
Brainstem_skew,0.008869812570359077,0.009744839872426761,1.0986522877599272,within
Motor_Premotor_skew,0.01888031672779799,0.02077907860691318,1.1005683276657956,within
Subcortical_skew,0.005078236725414288,0.005628425194232763,1.108342422491852,within
Parietal_mean,0.052290218793660435,0.05813652837981358,1.1118050320122574,within
Cingulate_mean,0.10604254310773686,0.12106178980926928,1.1416341617370793,within
Parietal_skew,0.010056258159674628,0.011543485398056856,1.1478907178761555,within
Subcortical_mean,0.1189277133370498,0.1368882053322035,1.1510202415500277,within
Insula_mean,0.4061006490196867,0.46906139101495575,1.1550372848387567,within
Occipital_mean,0.15400596063562222,0.1795842586626913,1.166086415886118,within
Occipital_skew,0.02289676766101927,0.026749993824960773,1.168286904989714,within
Motor_Premotor_mean,0.23992301052494647,0.287906197579867,1.1999941020660518,within
Frontal_Superior_mean,0.05549066750061097,0.06823174552018123,1.2296075825620583,within
