subject_id,status,error
SDSU_0050217,skipped,
Trinity_0050233,skipped,
Trinity_0050235,skipped,
Trinity_0050234,skipped,
Trinity_0050236,skipped,
Trinity_0050237,skipped,
Trinity_0050240,skipped,
Trinity_0050239,skipped,
Trinity_0050241,skipped,
Trinity_0050243,skipped,
Trinity_0050246,skipped,
Trinity_0050242,skipped,
Trinity_0050247,skipped,
Trinity_0050248,skipped,
Trinity_0050245,skipped,
Trinity_0050249,skipped,
Trinity_0050250,skipped,
Trinity_0050253,skipped,
Trinity_0050252,skipped,
Trinity_0050251,skipped,
Trinity_0050255,skipped,
Trinity_0050254,skipped,
Trinity_0050259,skipped,
Trinity_0050257,skipped,
Trinity_0050260,skipped,
Trinity_0050261,skipped,
Trinity_0050262,skipped,
Trinity_0050264,skipped,
Trinity_0050265,skipped,
Trinity_0050263,skipped,
Trinity_0050266,skipped,
Trinity_0050267,skipped,
Trinity_0050268,skipped,
Trinity_0050269,skipped,
Trinity_0050271,skipped,
Trinity_0050270,skipped,
UM_1_0050272,skipped,
UM_1_0050273,skipped,
UM_1_0050274,skipped,
UM_1_0050275,skipped,
UM_1_0050276,skipped,
UM_1_0050279,skipped,
UM_1_0050278,skipped,
UM_1_0050280,skipped,
UM_1_0050277,skipped,
UM_1_0050281,skipped,
UM_1_0050282,skipped,
UM_1_0050283,skipped,
UM_1_0050284,skipped,
UM_1_0050285,skipped,
UM_1_0050286,skipped,
UM_1_0050287,skipped,
UM_1_0050289,skipped,
UM_1_0050288,skipped,
UM_1_0050292,skipped,
UM_1_0050290,skipped,
UM_1_0050293,skipped,
UM_1_0050291,skipped,
UM_1_0050297,skipped,
UM_1_0050294,skipped,
UM_1_0050296,skipped,
UM_1_0050298,skipped,
UM_1_0050299,skipped,
UM_1_0050295,skipped,
UM_1_0050301,skipped,
UM_1_0050300,skipped,
UM_1_0050302,skipped,
UM_1_0050303,skipped,
UM_1_0050304,skipped,
UM_1_0050305,skipped,
UM_1_0050307,skipped,
UM_1_0050308,skipped,
UM_1_0050306,skipped,
UM_1_0050310,skipped,
UM_1_0050311,skipped,
UM_1_0050312,skipped,
UM_1_0050314,skipped,
UM_1_0050316,skipped,
UM_1_0050313,skipped,
UM_1_0050315,skipped,
UM_1_0050317,skipped,
UM_1_0050319,skipped,
UM_1_0050321,skipped,
UM_1_0050320,skipped,
UM_1_0050324,skipped,
UM_1_0050322,skipped,
UM_1_0050318,skipped,
UM_1_0050325,skipped,
UM_1_0050329,skipped,
UM_1_0050326,skipped,
UM_1_0050330,skipped,
UM_1_0050327,skipped,
UM_1_0050331,skipped,
UM_1_0050332,skipped,
UM_1_0050333,skipped,
UM_1_0050334,skipped,
UM_1_0050335,skipped,
UM_1_0050336,skipped,
UM_1_0050337,skipped,
UM_1_0050338,skipped,
UM_1_0050340,skipped,
UM_1_0050341,skipped,
UM_1_0050342,skipped,
UM_1_0050339,skipped,
UM_1_0050343,skipped,
UM_1_0050344,skipped,
UM_1_0050345,skipped,
UM_1_0050346,skipped,
UM_1_0050347,skipped,
UM_1_0050348,skipped,
UM_1_0050349,skipped,
UM_1_0050350,skipped,
UM_1_0050351,skipped,
UM_1_0050352,skipped,
UM_1_0050353,skipped,
UM_1_0050356,skipped,
UM_1_0050355,skipped,
UM_1_0050354,skipped,
UM_1_0050357,skipped,
UM_1_0050358,skipped,
UM_1_0050359,skipped,
UM_1_0050360,skipped,
UM_1_0050361,skipped,
UM_1_0050363,skipped,
UM_1_0050362,skipped,
UM_1_0050364,skipped,
UM_1_0050365,skipped,
UM_1_0050366,skipped,
UM_1_0050367,skipped,
UM_1_0050368,skipped,
UM_1_0050370,skipped,
UM_1_0050371,skipped,
UM_1_0050369,skipped,
UM_1_0050372,skipped,
UM_1_0050373,skipped,
UM_1_0050374,skipped,
UM_1_0050375,skipped,
UM_1_0050376,skipped,
UM_1_0050380,skipped,
UM_1_0050377,skipped,
UM_1_0050381,skipped,
UM_1_0050379,skipped,
UM_2_0050382,skipped,
UM_2_0050383,skipped,
UM_2_0050385,skipped,
UM_2_0050386,skipped,
UM_2_0050390,skipped,
UM_2_0050387,skipped,
UM_2_0050391,skipped,
UM_2_0050397,skipped,
UM_2_0050388,skipped,
UM_2_0050399,skipped,
UM_2_0050403,skipped,
UM_2_0050404,skipped,
UM_2_0050405,skipped,
UM_2_0050402,skipped,
UM_2_0050406,skipped,
UM_2_0050408,skipped,
UM_2_0050410,skipped,
UM_2_0050411,skipped,
UM_2_0050412,skipped,
UM_2_0050414,skipped,
UM_2_0050413,skipped,
UM_2_0050415,skipped,
UM_2_0050416,skipped,
UM_2_0050418,skipped,
UM_2_0050417,skipped,
UM_2_0050419,skipped,
UM_2_0050422,skipped,
UM_2_0050407,skipped,
UM_2_0050421,skipped,
UM_2_0050424,skipped,
UM_2_0050425,skipped,
UM_2_0050426,skipped,
UM_2_0050427,skipped,
UM_2_0050428,skipped,
USM_0050434,skipped,
USM_0050433,skipped,
USM_0050436,skipped,
USM_0050437,skipped,
USM_0050438,skipped,
USM_0050435,skipped,
USM_0050439,skipped,
USM_0050442,skipped,
USM_0050440,skipped,
USM_0050441,skipped,
USM_0050443,skipped,
USM_0050444,skipped,
USM_0050445,skipped,
USM_0050448,skipped,
USM_0050446,skipped,
USM_0050447,skipped,
USM_0050449,skipped,
USM_0050455,skipped,
USM_0050453,skipped,
USM_0050467,skipped,
USM_0050468,skipped,
USM_0050480,skipped,
USM_0050470,skipped,
USM_0050481,skipped,
USM_0050482,skipped,
USM_0050483,skipped,
USM_0050486,skipped,
USM_0050485,skipped,
USM_0050487,skipped,
USM_0050488,skipped,
USM_0050489,skipped,
USM_0050463,skipped,
USM_0050466,skipped,
USM_0050490,skipped,
USM_0050469,skipped,
USM_0050493,skipped,
USM_0050492,skipped,
USM_0050477,skipped,
USM_0050491,skipped,
USM_0050496,skipped,
USM_0050497,skipped,
USM_0050498,skipped,
USM_0050500,skipped,
USM_0050499,skipped,
USM_0050501,skipped,
USM_0050502,skipped,
USM_0050503,skipped,
USM_0050504,skipped,
USM_0050507,skipped,
USM_0050509,skipped,
USM_0050510,skipped,
USM_0050505,skipped,
USM_0050511,skipped,
USM_0050515,skipped,
USM_0050514,skipped,
USM_0050516,skipped,
USM_0050518,skipped,
USM_0050519,skipped,
USM_0050520,skipped,
USM_0050523,skipped,
USM_0050521,skipped,
USM_0050525,skipped,
USM_0050524,skipped,
USM_0050526,skipped,
USM_0050527,skipped,
USM_0050528,skipped,
USM_0050494,skipped,
USM_0050529,skipped,
USM_0050531,skipped,
USM_0050530,skipped,
USM_0050532,skipped,
Yale_0050552,skipped,
Yale_0050551,skipped,
Yale_0050554,skipped,
Yale_0050553,skipped,
Yale_0050556,skipped,
Yale_0050555,skipped,
Yale_0050557,skipped,
Yale_0050558,skipped,
Yale_0050559,skipped,
Yale_0050561,skipped,
Yale_0050563,skipped,
Yale_0050560,skipped,
Yale_0050562,skipped,
Yale_0050565,skipped,
Yale_0050564,skipped,
Yale_0050566,skipped,
Yale_0050567,skipped,
Yale_0050568,skipped,
Yale_0050570,skipped,
Yale_0050569,skipped,
Yale_0050573,skipped,
Yale_0050572,skipped,
Yale_0050571,skipped,
Yale_0050577,skipped,
Yale_0050574,skipped,
Yale_0050575,skipped,
Yale_0050578,skipped,
Yale_0050601,skipped,
Yale_0050576,skipped,
Yale_0050602,skipped,
Yale_0050603,skipped,
Yale_0050605,skipped,
Yale_0050604,skipped,
Yale_0050607,skipped,
Yale_0050606,skipped,
Yale_0050609,skipped,
Yale_0050608,skipped,
Yale_0050611,skipped,
Yale_0050610,skipped,
Yale_0050614,skipped,
Yale_0050612,skipped,
Yale_0050613,skipped,
Yale_0050615,skipped,
Yale_0050616,skipped,
Yale_0050617,skipped,
Yale_0050618,skipped,
Yale_0050621,skipped,
Yale_0050619,skipped,
Yale_0050622,skipped,
Yale_0050620,skipped,
Yale_0050624,skipped,
Yale_0050623,skipped,
Yale_0050625,skipped,
Yale_0050627,skipped,
Yale_0050626,skipped,
Yale_0050628,skipped,
CMU_a_0050642,skipped,
CMU_b_0050644,skipped,
CMU_b_0050643,skipped,
CMU_b_0050645,skipped,
CMU_b_0050648,skipped,
CMU_a_0050646,skipped,
CMU_a_0050647,skipped,
CMU_a_0050649,skipped,
CMU_b_0050650,skipped,
CMU_b_0050651,skipped,
CMU_a_0050653,skipped,
CMU_b_0050652,skipped,
CMU_b_0050655,skipped,
CMU_a_0050654,skipped,
CMU_a_0050656,skipped,
CMU_b_0050657,skipped,
CMU_b_0050658,skipped,
CMU_a_0050659,skipped,
CMU_a_0050660,skipped,
CMU_a_0050663,skipped,
CMU_b_0050661,skipped,
CMU_a_0050666,skipped,
CMU_a_0050664,skipped,
CMU_b_0050667,skipped,
CMU_a_0050668,skipped,
CMU_a_0050665,skipped,
CMU_b_0050669,skipped,
Leuven_1_0050688,skipped,
Leuven_1_0050682,skipped,
Leuven_1_0050686,skipped,
Leuven_1_0050683,skipped,
Leuven_1_0050685,skipped,
Leuven_1_0050687,skipped,
Leuven_1_0050689,skipped,
Leuven_1_0050690,skipped,
Leuven_1_0050691,skipped,
Leuven_1_0050692,skipped,
Leuven_1_0050693,skipped,
Leuven_1_0050694,skipped,
Leuven_1_0050696,skipped,
Leuven_1_0050697,skipped,
Leuven_1_0050700,skipped,
Leuven_1_0050695,skipped,
Leuven_1_0050699,skipped,
Leuven_1_0050698,skipped,
Leuven_1_0050701,skipped,
Leuven_1_0050702,skipped,
Leuven_1_0050703,skipped,
Leuven_1_0050704,skipped,
Leuven_1_0050707,skipped,
Leuven_1_0050705,skipped,
Leuven_1_0050706,skipped,
Leuven_1_0050709,skipped,
Leuven_1_0050708,skipped,
Leuven_1_0050710,skipped,
Leuven_1_0050711,skipped,
Leuven_2_0050722,skipped,
Leuven_2_0050724,skipped,
Leuven_2_0050723,skipped,
Leuven_2_0050725,skipped,
Leuven_2_0050727,skipped,
Leuven_2_0050726,skipped,
Leuven_2_0050730,skipped,
Leuven_2_0050728,skipped,
Leuven_2_0050732,skipped,
Leuven_2_0050731,skipped,
Leuven_2_0050733,skipped,
Leuven_2_0050736,skipped,
Leuven_2_0050735,skipped,
Leuven_2_0050737,skipped,
Leuven_2_0050738,skipped,
Leuven_2_0050739,skipped,
Leuven_2_0050740,skipped,
Leuven_2_0050741,skipped,
Leuven_2_0050742,skipped,
Leuven_2_0050743,skipped,
Leuven_2_0050744,skipped,
Leuven_2_0050747,skipped,
Leuven_2_0050748,skipped,
Leuven_2_0050746,skipped,
Leuven_2_0050745,skipped,
Leuven_2_0050751,skipped,
Leuven_2_0050749,skipped,
Leuven_2_0050750,skipped,
Leuven_2_0050753,skipped,
Leuven_2_0050752,skipped,
Leuven_2_0050754,skipped,
Leuven_2_0050755,skipped,
KKI_0050772,skipped,
KKI_0050773,skipped,
Leuven_2_0050756,skipped,
Leuven_2_0050757,skipped,
KKI_0050775,skipped,
KKI_0050774,skipped,
KKI_0050776,skipped,
KKI_0050777,skipped,
KKI_0050779,skipped,
KKI_0050778,skipped,
KKI_0050781,skipped,
KKI_0050780,skipped,
KKI_0050783,skipped,
KKI_0050782,skipped,
KKI_0050784,skipped,
KKI_0050785,skipped,
KKI_0050789,skipped,
KKI_0050788,skipped,
KKI_0050787,skipped,
KKI_0050786,skipped,
KKI_0050790,skipped,
KKI_0050792,skipped,
KKI_0050794,skipped,
KKI_0050796,skipped,
KKI_0050791,skipped,
KKI_0050793,skipped,
KKI_0050795,skipped,
KKI_0050797,skipped,
KKI_0050799,skipped,
KKI_0050800,skipped,
KKI_0050798,skipped,
KKI_0050801,skipped,
KKI_0050803,skipped,
KKI_0050804,skipped,
KKI_0050802,skipped,
KKI_0050807,skipped,
KKI_0050812,skipped,
KKI_0050814,skipped,
KKI_0050816,skipped,
KKI_0050815,skipped,
KKI_0050818,skipped,
KKI_0050817,skipped,
KKI_0050819,skipped,
KKI_0050821,skipped,
KKI_0050820,skipped,
KKI_0050822,skipped,
KKI_0050823,skipped,
KKI_0050824,skipped,
KKI_0050826,skipped,
KKI_0050825,skipped,
NYU_0050954,skipped,
NYU_0050955,skipped,
NYU_0050952,skipped,
NYU_0050957,skipped,
NYU_0050956,skipped,
NYU_0050958,skipped,
NYU_0050959,skipped,
NYU_0050960,skipped,
NYU_0050961,skipped,
NYU_0050962,skipped,
NYU_0050964,skipped,
NYU_0050966,skipped,
NYU_0050965,skipped,
NYU_0050967,skipped,
NYU_0050969,skipped,
NYU_0050968,skipped,
NYU_0050970,skipped,
NYU_0050972,skipped,
NYU_0050973,skipped,
NYU_0050976,skipped,
NYU_0050974,skipped,
NYU_0050977,skipped,
NYU_0050979,skipped,
NYU_0050978,skipped,
NYU_0050981,skipped,
NYU_0050982,skipped,
NYU_0050983,skipped,
NYU_0050984,skipped,
NYU_0050985,skipped,
NYU_0050987,skipped,
NYU_0050988,skipped,
NYU_0050986,skipped,
NYU_0050991,skipped,
NYU_0050992,skipped,
NYU_0050989,skipped,
NYU_0050990,skipped,
NYU_0050993,skipped,
NYU_0050994,skipped,
NYU_0050995,skipped,
NYU_0050996,skipped,
NYU_0050997,skipped,
NYU_0050998,skipped,
NYU_0050999,skipped,
NYU_0051000,skipped,
NYU_0051001,skipped,
NYU_0051002,skipped,
NYU_0051003,skipped,
